"Minimalist living has gained popularity as a response to consumer culture. People are choosing to own fewer possessions, prioritize experiences, and reduce their environmental footprint. This lifestyle encourages intentionality and simplicity, often leading to improved mental clarity and financial freedom. Critics argue, however, that minimalism is more accessible to those with privilege and can sometimes oversimplify complex socioeconomic issues."
,"What is a core idea of minimalist living?","Accumulating wealth","Purchasing luxury items","Owning fewer things and focusing on experiences","Building large homes","C"
,"What is one benefit of minimalism mentioned?","Higher tax returns","Improved mental clarity","More social recognition","Better online ratings","B"
,"What is a criticism of minimalism?","It promotes extreme consumerism","It's only for artists","It's mainly accessible to the privileged","It encourages wastefulness","C"
"Language acquisition in adults is influenced by multiple factors, including motivation, exposure, and cognitive flexibility. While it's commonly believed that children are better language learners, adults can achieve fluency with consistent practice. Immersive environments, such as living abroad, significantly accelerate learning. Moreover, adults often benefit from a deeper understanding of grammar rules and learning strategies, though they may struggle with pronunciation and spontaneity."
,"What helps adults learn languages faster?","Studying alone at night","Using only flashcards","Being in immersive environments","Relying on translation apps","C"
,"Why might adults be better at understanding grammar?","They have more free time","They studied linguistics as children","They benefit from structured learning","They imitate children","C"
,"What is a common difficulty for adults in language learning?","Memorizing grammar","Pronunciation and spontaneity","Reading comprehension","Recognizing alphabet letters","B"
"Digital art has transformed the creative industry, enabling artists to reach global audiences without traditional gatekeepers. With tools like graphic tablets and design software, creativity has become more accessible. Online platforms provide exposure, but they also bring challenges, such as copyright infringement and oversaturation. As technology continues to evolve, so too will the definitions and boundaries of art."
,"How has digital art impacted artists' reach?","Limited them to local galleries","Increased global exposure","Prevented collaborations","Required more studio space","B"
,"What is one challenge digital artists face?","Expensive shipping","Time zone confusion","Copyright issues","Lack of social media","C"
,"How has technology affected art?","Made it easier to paint on canvas","Restricted innovation","Expanded artistic boundaries","Eliminated traditional styles","C"
"Urban farming is becoming increasingly popular as cities seek sustainable food sources. Rooftop gardens and vertical farms allow fresh produce to be grown close to consumers, reducing transportation emissions. These projects not only promote food security but also provide educational opportunities and green spaces in dense urban areas. However, challenges like high setup costs and limited space remain obstacles."
,"What is a benefit of urban farming?","Increased food waste","Higher transportation costs","Reduced emissions","More fast food chains","C"
,"What additional role does urban farming play?","It serves as advertisement space","It offers educational opportunities","It blocks internet signals","It limits food choices","B"
,"What is a challenge urban farmers face?","Too much rainfall","Low food demand","High setup costs","Strict dress codes","C"
"The gig economy has reshaped employment, offering short-term, flexible work opportunities. While this model provides freedom and variety, it also lacks job security, health benefits, and consistent income. Many gig workers juggle multiple roles to make ends meet. As the gig economy grows, there are increasing calls for better regulation and protections for workers' rights."
,"What is a key characteristic of the gig economy?","Long-term contracts","Full health coverage","Flexible short-term work","Retirement plans","C"
,"Why do many gig workers take on multiple jobs?","To learn new skills","To explore industries","To afford living expenses","To avoid boredom","C"
,"What is being called for in relation to gig work?","Ban on all freelance jobs","More company-owned housing","Better worker protections","Increased competition","C"
