ID,Question,OptionA,OptionB,OptionC,OptionD,Answer
83,What do you smell with?,Nose,Ear,Toe,Knee,A  
84,Which one is a toy?,Doll,Pot,Pan,Sock,A  
85,What do you use to color?,Crayon,Knife,Comb,Scissors,A  
86,What do you wear on your wrist?,Watch,Ring,Necklace,Earrings,A  
87,What do you use to make a call?,Phone,TV,Book,Lamp,A  
88,Which one is not a color?,Table,Green,Red,Black,A  
89,What is shaped like a square?,Box,Plate,Shoe,Pen,A  
90,Which one is a job?,Teacher,Banana,Car,Music,A  
91,Which is a kind of bread?,Toast,Meat,Juice,Fish,A  
92,What do you eat ice cream from?,Cone,Bag,Box,Spoon,A  
93,What is used to clean hair?,Shampoo,Soap,Juice,Oil,A  
94,What do you sit on in class?,Chair,Floor,Desk,Wall,A  
95,What do you use to open a can?,Can opener,Pencil,Spoon,Eraser,A  
96,What do you read every day?,Book,Pen,Shoe,Chair,A  
97,Which one is a season?,Summer,Green,Long,Cold,A  
98,Which one is hot?,Fire,Ice,Snow,Wind,A  
99,What do you wear in winter?,Jacket,Shorts,T-shirt,Flip-flops,A  
100,Which one is not found at school?,Bed,Desk,Board,Pen,A  
