ID,Question,OptionA,OptionB,OptionC,OptionD,Answer
91,"Active" means?,Full of energy,Very slow,Always sleeping,Scared,A  
92,"Bored" means?,Not interested,Very angry,Very cold,Very busy,A  
93,"Cheap" means?,Not expensive,Big and heavy,Colorful,Very sweet,A  
94,"Deny" means?,Say not true,Say yes,Say hello,Write,A  
95,"Empty" means?,Nothing inside,Too full,Colorful,Wet,A  
96,"Frighten" means?,Scare,Play,Laugh,Shout,A  
97,"Gather" means?,Collect,Throw away,Ignore,Break,A  
98,"Honest" means?,Tells the truth,Tells jokes,Feels tired,Walks fast,A  
99,"Include" means?,Have as part,Take out,Change,Miss,A  
100,"Lucky" means?,Fortunate,Busy,Late,Active,A  
